"","Text","Cluster"
"214","BAHNWAERTER_THIEL_Q803617","Cluster 3"
"215","DIE_VERSUCHUNG_DES_PESCARA_Q1217221","Cluster 4"
"216","DIE_HOCHZEIT_DES_MOENCHS_Q1213463","Cluster 3"
"217","DER_RAUBGRAF_noWikiID","Cluster 3"
"218","DEUTSCHE_PIONIERE_noWikiID","Cluster 2"
"219","HAMMER_UND_AMBOSS_noWikiID","Cluster 2"
"220","EINE_GESCHICHTE_AUS_DEM_BREGENZERWALDE_noWikiID","Cluster 4"
"221","WIE_FUENF_MAEDCHEN_IM_BRANNTWEIN_JAEMMERLICH_UMKOMMEN_Q1751009","Cluster 3"
"222","GOCKEL,_HINKEL_UND_GACKELEIA_Q1478745","Cluster 3"
"223","DIE_VERLORENE_HANDSCHRIFT_noWikiID","Cluster 2"
"224","WEISSE_SCLAVEN_ODER_DIE_LEIDEN_DES_VOLKES_noWikiID","Cluster 2"
"225","DIE_TOTEN_SCHWEIGEN_Q1216835","Cluster 4"
"226","EIN_ABSCHIED_Q1304285","Cluster 4"
"227","SCHACHTEL_MIT_DER_FRIEDENSPUPPE_noWikiID","Cluster 3"
"228","STINE_(FONTANE)_Q1691464","Cluster 3"
"229","DIE_KLUGEN_JUNGFRAUEN_noWikiID","Cluster 3"
"230","DIE_JUDEN_VON_BARNOW_Q57166842","Cluster 4"
"231","VIOLA_TRICOLOR_(STORM)_Q2527399","Cluster 3"
"232","PSYCHE_noWikiID","Cluster 4"
"233","DIE_BEICHTE_noWikiID","Cluster 4"
"234","LIED_DER_PARZEN_noWikiID","Cluster 3"
"235","ANNA_noWikiID","Cluster 2"
"236","GRILLPARZERS_LIEBESROMAN_noWikiID","Cluster 3"
"237","ANDROGYNE_noWikiID","Cluster 3"
"238","DER_SCHMIED_SEINES_GLUECKS_noWikiID","Cluster 4"
"239","DER_AMERIKAMUEDE_noWikiID","Cluster 3"
"240","DIE_NIHILISTEN_noWikiID","Cluster 4"
"241","DIE_KLEINE_STADT_Q1218726","Cluster 3"
"242","DER_REBELL_noWikiID","Cluster 2"
"243","PROFESSOR_UNRAT_Q457481","Cluster 3"
"244","POLNISCHE_GHETTO-GESCHICHTEN_noWikiID","Cluster 4"
"245","EIN_KAMPF_UMS_RECHT_Q95606786","Cluster 2"
"246","SCHWARZWAELDER_DORFGESCHICHTEN_Q60982841","Cluster 1"
"247","STURMFLUT_noWikiID","Cluster 3"
"248","EINE_STUNDE_HINTER_MITTERNACHT_Q1306645","Cluster 4"
"249","FRUEHLING_noWikiID","Cluster 3"
"250","WIE_FRAUEN_WERDEN._WERDE,_DIE_DU_BIST_noWikiID","Cluster 3"
"251","EIN_FEST_AUF_HADERSLEVHUUS_noWikiID","Cluster 3"
"252","DER_BLONDE_ECKBERT_Q1198407","Cluster 3"
"253","DIE_FAMILIE_SELDORF_Q977237","Cluster 3"
"254","WILHELM_MEISTERS_LEHRJAHRE_Q1194031","Cluster 1"
"255","LEDWINA_noWikiID","Cluster 4"
"256","PANKRAZ_DER_SCHMOLLER_Q2049588","Cluster 4"
"257","DER_SCHIMMELREITER_Q895730","Cluster 3"
"258","BARBAROSSA_noWikiID","Cluster 4"
"259","IM_SIESGESKRANZE_noWikiID","Cluster 3"
"260","DIE_HEILIGE_CAECILIE_ODER_DIE_GEWALT_DER_MUSIK_Q302229","Cluster 4"
"261","FAUSTS_LEBEN,_THATEN_UND_HOELLENFAHRT_Q1368395","Cluster 3"
"262","LIENHARD_UND_GERTRUD_Q1824235","Cluster 3"
"263","MEISTER_AUTOR_ODER_DIE_GESCHICHTEN_VOM_VERSUNKENEN_GARTEN_Q1452385","Cluster 2"
"264","ABU_TELFAN_Q335418","Cluster 2"
"265","DAPHNIS_noWikiID","Cluster 4"
"266","GESPRAECHE_MIT_DAEMONEN_noWikiID","Cluster 4"
"267","DIE_ENTFUEHRUNG_noWikiID","Cluster 3"
"268","EIN_DOPPELGAENGER_Q19188654","Cluster 2"
"269","DIE_ABENTHEUER_DES_DON_SYLVIO_VON_ROSALVA_noWikiID","Cluster 2"
"270","IM_HAUSE_DES_KOMMERZIENRATES_noWikiID","Cluster 4"
"271","DIE_SCHRIFTEN_DES_WALDSCHULMEISTERS_Q56071834","Cluster 3"
"272","GUTMANNS_REISEN_Q1557236","Cluster 4"
"273","IM_ALTEN_EISEN_Q1474111","Cluster 2"
"274","DIE_AHNEN_Q42185371","Cluster 1"
"275","NINON_noWikiID","Cluster 4"
"276","GESCHICHTE_EINES_WIENERKINDES_noWikiID","Cluster 3"
"277","DIE_ANARCHISTEN_noWikiID","Cluster 4"
"278","DER_SELBSTMOERDER_noWikiID","Cluster 4"
"279","FRAU_SORGE_noWikiID","Cluster 2"
"280","REQUIEM_DER_LIEBE_noWikiID","Cluster 3"
"281","PRINZESSIN_FISCH_Q2110713","Cluster 3"
"282","PAPA_HAMLET_Q2050484","Cluster 4"
"283","DAS_ZAUBERSCHLOSS_noWikiID","Cluster 4"
"284","WOLDEMAR_noWikiID","Cluster 4"
"285","DAS_HEXAMERON_VON_ROSENHAIN_noWikiID","Cluster 4"
"286","AGATHODAEMON_noWikiID","Cluster 3"
"287","FLORENTIN_noWikiID","Cluster 2"
"288","PROKOPUS_Q23689421","Cluster 4"
"289","BLUMEN_noWikiID","Cluster 4"
"290","DAS_GEMEINDEKIND_Q1168304","Cluster 3"
"291","TOTENMESSE_noWikiID","Cluster 3"
"292","SIBILLA_DALMAR_noWikiID","Cluster 3"
"293","DAS_SANCTUS_Q1170225","Cluster 4"
"294","KREISLERIANA_noWikiID","Cluster 3"
"295","DIE_JUDENBUCHE_Q1213685","Cluster 4"
"296","DER_STERNSTEINHOF_noWikiID","Cluster 3"
"297","DAS_KLOSTER_BEI_SENDOMIR_Q1169335","Cluster 4"
"298","DES_REICHES_KRONE_Q1200467","Cluster 4"
"299","DIE_FREUNDE_(LUDWIG_TIECK)_Q1212755","Cluster 3"
"300","DER_RUNENBERG_Q1196568","Cluster 4"
"301","DIE_SERAPIONSBRUEDER_Q321013","Cluster 2"
"302","DAS_ERDBEBEN_IN_CHILI_Q1167748","Cluster 3"
"303","HOLLINS_LIEBELEBEN_Q1624844","Cluster 3"
"304","EFFI_BRIEST_Q1296168","Cluster 1"
"305","STERBEN_noWikiID","Cluster 2"
"306","DAS_NUSS-KERNEN_noWikiID","Cluster 4"
"307","FREUDEN_DES_JUNGEN_WERTHERS_Q1455757","Cluster 4"
"308","DER_SATYR_MOPSUS_noWikiID","Cluster 3"
"309","DER_MAGNETISEUR_(E._T._A._HOFFMANN)_Q15456531","Cluster 3"
"310","GELD_UND_GEIST_noWikiID","Cluster 3"
"311","HERRN_DAMES_AUFZEICHNUNGEN_noWikiID","Cluster 4"
"312","NACHTSTUECKE_Q15836200","Cluster 2"
"313","VON_PAUL_ZU_PEDRO_noWikiID","Cluster 3"
"314","DER_TORSO_noWikiID","Cluster 3"
"315","AUS_DEN_MEMOIREN_DES_HERRN_SCHNABELEWOPSKI_noWikiID","Cluster 3"
"316","DAS_BUCH_LE_GRAND_noWikiID","Cluster 4"
"317","DER_SCHATZ_IM_SILBERSEE_Q249905","Cluster 3"
"318","DAS_VERMAECHTNIS_DES_INKA_noWikiID","Cluster 4"
"319","PFLUG_UND_SCHRAUBSTOCK_noWikiID","Cluster 3"
"320","MEINE_KINDERJAHRE_Q1918015","Cluster 3"
"321","DIE_AKTEN_DES_VOGELSANGS_Q1210969","Cluster 4"
"322","FRAU_JENNY_TREIBEL_Q351933","Cluster 2"
"323","DIE_ELIXIERE_DES_TEUFELS_Q600849","Cluster 1"
"324","STOPFKUCHEN_Q1495045","Cluster 3"
"325","DIE_GUTE_SCHULE_noWikiID","Cluster 4"
"326","DAS_GLUECK_Q3209153","Cluster 3"
"327","DIE_SOEHNE_DES_SENATORS_Q1216642","Cluster 4"
"328","REITERGESCHICHTE_Q2142105","Cluster 4"
"329","KINDER_DER_EIFEL_Q111345448","Cluster 2"
"330","DIE_GOLDENE_SCHMIEDE_noWikiID","Cluster 4"
"331","EIN_WORT_noWikiID","Cluster 3"
"332","STUFENJAHRE_EINES_GLUECKLICHEN_noWikiID","Cluster 4"
"333","FLEGELJAHRE_Q1299976","Cluster 4"
"334","SOLL_UND_HABEN_(ROMAN)_Q2298931","Cluster 1"
"335","DIE_KRONENWAECHTER_Q1214104","Cluster 1"
"336","LEBEN_DES_QUINTUS_FIXLEIN_Q1810877","Cluster 4"
"337","SIEBENKAES_Q2282375","Cluster 3"
"338","DIE_MANDANEN-WAISE_noWikiID","Cluster 2"
"339","DAS_ODFELD_Q1169997","Cluster 3"
"340","PFISTERS_MUEHLE_Q1373296","Cluster 3"
"341","DIE_FAMILIE_WOREL_Q1212318","Cluster 4"
"342","TRAGIK_DES_LEBENS_noWikiID","Cluster 4"
"343","WALLY,_DIE_ZWEIFLERIN_noWikiID","Cluster 4"
"344","DER_SADDUZAEER_VON_AMSTERDAM_noWikiID","Cluster 4"
"345","UNTERHALTUNGEN_DEUTSCHER_AUSGEWANDERTEN_Q1680528","Cluster 3"
"346","JUNGFER_MUTTER_noWikiID","Cluster 2"
"347","DER_PSYCHOLOGE_noWikiID","Cluster 4"
"348","DIE_ABENTEUER_DER_SYLVESTERNACHT_noWikiID","Cluster 3"
"349","DIE_ELFEN_(LUDWIG_TIECK)_Q1169906","Cluster 3"
"350","NEUE_IDYLLEN_noWikiID","Cluster 3"
"351","DE_PROFUNDIS_noWikiID","Cluster 3"
"352","FLORENTINISCHE_NAECHTE_noWikiID","Cluster 4"
"353","DAS_AMULETT_Q1167148","Cluster 4"
"354","ANDREA_DELFIN_Q28054637","Cluster 3"
"355","DIE_INNERSTE_Q1213605","Cluster 3"
"356","DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS_noWikiID","Cluster 4"
"357","JAKOB_DER_LETZTE_Q15507850","Cluster 3"
"358","DAS_GESPENST_noWikiID","Cluster 3"
"359","LUCINDE_Q1873464","Cluster 4"
"360","DIE_LEHRLINGE_ZU_SAIS_Q1214361","Cluster 4"
"361","WAS_DIE_ISAR_RAUSCHT_noWikiID","Cluster 2"
"362","DER_STECHLIN_(ROMAN)_Q1197130","Cluster 3"
"363","DIE_VERWIRRUNGEN_DES_ZOEGLINGS_TOERLESS_Q1112285","Cluster 3"
"364","EINE_MALERARBEIT_noWikiID","Cluster 4"
"365","DER_HERR_ETATSRAT_Q15805136","Cluster 4"
"366","DER_POSTEN_DER_FRAU_noWikiID","Cluster 4"
"367","GIB_MICH_FREI_noWikiID","Cluster 2"
"368","BELPHEGOR_noWikiID","Cluster 3"
"369","DER_RABBI_VON_BACHERACH_noWikiID","Cluster 4"
"370","DER_SCHWEIZER_ROBINSON_ODER_DER_SCHWEIZER-PREDIGER_UND_SEINE_FAMILIE_noWikiID","Cluster 4"
"371","IMMENSEE_noWikiID","Cluster 3"
"372","DIE_MEHREREN_WEHMUELLER_noWikiID","Cluster 4"
"373","DIE_MOLKENKUR_noWikiID","Cluster 4"
"374","DIE_FREIHERREN_VON_GEMPERLEIN_noWikiID","Cluster 4"
"375","DON_JUAN_VON_KOLOMEA_noWikiID","Cluster 4"
"376","HEITERETEI_noWikiID","Cluster 4"
"377","DER_SONNENWIRT_noWikiID","Cluster 3"
"378","TONIO_KROEGER_Q692988","Cluster 3"
"379","DAS_LEBEN_UND_DIE_MEINUNGEN_DES_HERRN_MAGISTER_SEBALDUS_NOTHANKER_Q1810894","Cluster 2"
"380","BUDDENBROOKS_Q326909","Cluster 3"
"381","SATIRISCHE_ERZAEHLUNGEN_noWikiID","Cluster 4"
"382","ALSO_SPRACH_ZARATHUSTRA_Q199774","Cluster 4"
"383","DIE_RICHTERIN_(NOVELLE)_Q1215781","Cluster 4"
"384","DIE_FLUSSPIRATEN_DES_MISSISSIPPI_Q1212508","Cluster 4"
"385","DAS_KAJUETENBUCH_noWikiID","Cluster 3"
"386","FRAGMENT_EINES_ROMANS_noWikiID","Cluster 3"
"387","UNRUHIGE_GAESTE_Q2496722","Cluster 3"
"388","SIEBEN_LEGENDEN_Q1652394","Cluster 3"
"389","DER_FINDLING_noWikiID","Cluster 4"
"390","DER_GOLDNE_SPIEGEL_noWikiID","Cluster 2"
"391","DER_GOLDNE_TOPF_Q785009","Cluster 2"
"392","DIE_CHRONIK_DER_SPERLINGSGASSE_Q1211874","Cluster 2"
"393","ALTERSHAUSEN_noWikiID","Cluster 4"
"394","VENUS_IM_PELZ_Q677592","Cluster 4"
"395","DIE_NAECHTE_TINO_VON_BAGDADS_noWikiID","Cluster 3"
"396","DER_KOENIG_DER_BERNINA_noWikiID","Cluster 3"
"397","ABDALLAH_noWikiID","Cluster 4"
"398","DER_VERBRECHER_AUS_VERLORENER_EHRE_Q1197800","Cluster 3"
"399","ULI_DER_KNECHT_noWikiID","Cluster 3"
"400","GESCHICHTE_VOM_BRAVEN_KASPERL_UND_DEM_SCHOENEN_ANNERL_Q1517619","Cluster 4"
"401","GESCHICHTE_DES_AGATHON_Q1517277","Cluster 1"
